Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 60, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",70.32,6.33,0.06,99.97,3.0776812,0.392461,0.1275184,22.85,2.06,0.02,32.48
":version :original, :n-workers 62, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",62.96,6.08,0.05,91.61,2.9420227,0.255421,0.0868182,21.4,2.07,0.02,31.14
":version :original, :n-workers 64, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",62.35,6.06,0.07,90.95,2.9455162,0.244583,0.0830357,21.17,2.06,0.02,30.88
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",55.5,6.05,0.06,84.97,3.0023224,0.309655,0.1031385,18.49,2.02,0.02,28.3
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",49.33,6.08,0.07,78.03,3.0159159,0.222299,0.0737086,16.36,2.02,0.02,25.87
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",57.66,5.81,0.06,85.69,2.8649214,0.193646,0.0675921,20.13,2.03,0.02,29.91
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",57.87,5.86,0.07,85.8,2.8817609,0.191211,0.0663521,20.08,2.03,0.02,29.77
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",59.5,5.86,0.06,87.46,2.8777767,0.186596,0.0648403,20.68,2.04,0.02,30.39
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",59.67,5.88,0.07,87.78,2.88213,0.203636,0.0706547,20.7,2.04,0.02,30.46
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",60.05,5.89,0.06,88.08,2.889504,0.20735,0.0717597,20.78,2.04,0.02,30.48
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",61.08,5.95,0.06,89.41,2.9126827,0.211974,0.0727762,20.97,2.04,0.02,30.7
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",60.23,5.88,0.07,88.27,2.8769562,0.204377,0.0710393,20.94,2.04,0.02,30.68
