Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 6, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",45.27,1.31,0.2,46.28,2.5818805,0.030253,0.0117174,17.53,0.51,0.08,17.92
":version :original, :n-workers 8, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",45.03,1.29,0.21,46.04,2.584324,0.031543,0.0122055,17.42,0.5,0.08,17.82
":version :original, :n-workers 10, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.72,1.14,0.0,43.52,2.5482347,0.032913,0.012916,16.76,0.45,0.0,17.08
":version :original, :n-workers 12, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",45.02,1.29,0.18,46.0,2.5489897,0.029828,0.0117019,17.66,0.51,0.07,18.05
":version :original, :n-workers 14, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",44.31,1.24,0.14,45.25,2.5543629,0.031741,0.0124262,17.35,0.49,0.05,17.71
":version :original, :n-workers 16, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.97,1.25,0.12,44.92,2.5784226,0.026619,0.0103238,17.05,0.48,0.05,17.42
":version :original, :n-workers 18, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",45.45,1.23,0.11,46.37,2.5722792,0.031065,0.0120768,17.67,0.48,0.04,18.03
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",44.52,1.28,0.31,45.63,2.5674912,0.032029,0.0124748,17.34,0.5,0.12,17.77
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",46.68,1.38,0.55,48.04,2.5817026,0.032938,0.0127582,18.08,0.53,0.21,18.61
":version :original, :n-workers 24, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",55.03,1.88,1.06,57.04,2.6902654,0.032694,0.0121527,20.46,0.7,0.39,21.2
":version :original, :n-workers 26, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",48.2,1.64,0.72,49.82,2.6561087,0.030623,0.0115293,18.15,0.62,0.27,18.76
":version :original, :n-workers 28, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",50.89,1.7,0.78,52.55,2.6524643,0.032387,0.0122102,19.19,0.64,0.29,19.81
":version :original, :n-workers 30, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",44.61,1.28,0.32,45.72,2.5459741,0.023766,0.0093347,17.52,0.5,0.13,17.96
":version :original, :n-workers 32, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.57,1.15,0.02,43.38,2.5316925,0.029378,0.0116041,16.81,0.45,0.01,17.13
